"nanyangSiteID","SiteName-zh","siteName-en","siteName-alt1","latitude","longitude"
"bt-mb-0059",,"United Buddhist Association of Bangkok","สมาคม สหพุทธรรมิก",13.7682832,100.5486364
"bt-mb-0060","(天道)聖母壇",,"ศาลเจ้า แม่ทับทิม (สมาคมพุทธกิจสงเคราะห์)",13.7666754,100.545225
"bt-mb-0061",,,"ศาลเจ้า พ่อเสือ",,
"bt-mb-0062","崇德善堂",,"มูลนิธิศรัทธาสงเคราะห์ (ซึ่งเต็กเซี่ยงตึ๊ง)",13.7878399,100.5565836
"bt-mb-0063","老本頭公","Pung Thao Kong","ศาลเจ้า ปูนเถ้ากง (สุทธิสาร)",13.78856266,100.558549
"bt-mb-0064",,,"ศาลเจ้า ปูนเถ้ากง (พหลโยธิน)",,
"bt-mb-0065","天道蓬萊壇","Sun Wukong","ศาลเจ้า เทียนเต๋าตั้ว (พ้งไล้ตั๊ว)",13.74931116,100.5552155
"bt-mb-0066","天后聖母廟",,"ศาลเจ้า แม่ทับทิม",13.74325833,100.5012066
"bt-mb-0067","萬茂老本頭公古廟",,"ศาลเจ้า บ้านหม้อเล่าถึงเถ่ากง",13.74450805,100.4975539
"bt-mb-0068","玄天上帝廟",,"ศาลเจ้า พ่อเสือ",13.7539028,100.4983179
"bt-mb-0069","昭抱魯爺廟",,"ศาลเจ้า พ่อหนู",13.7627822,100.4987681
"bt-mb-0070","萬華佛教社","Puthathippakorn Foundation (Buan Hua)","ศาลเจ้า บ้วนฮัว (มูลนิธิพุทธทีปกร)",13.6870779,100.5320732
"bt-mb-0071","老本頭公媽古廟",,"ศาลเจ้า เหล่าปึงเถ้ากงม่า",13.6842181,100.5370603
"bt-mb-0072","寶慶佛堂",,"โรงเจ ปอเก่งตั้ง",13.7122038,100.5975877
"bt-mb-0073","漢王公","San Chao Rong Kueak (Han Wang Gong)","ศาลเจ้า โรงเกือก (ศาลเจ้า ฮ้อนหว่องกุง)",13.7329266,100.5122831
"bt-mb-0074","順興宮","Chow Sue Kong (A 1.2)","ศาลเจ้า โจวซือก๋ง",13.7344079,100.5117495
"bt-mb-0075","大聖佛祖","(Pho) Hengchia (Sun Wukong Shrine)","ศาลเจ้า เห้งเจีย (ศาลเจ้า พ่อเห้งเจีย )",13.7388527,100.514075
"bt-mb-0076",,"??","ศาลเจ้า ต้นไทร",,
"bt-mb-0077","福蓮宮","Chao Mae Thapthim Shrine","ศาลเจ้า แม่ทับทิม",13.7347556,100.5126292
"bt-mb-0078","老本頭公廟","Breeding Duck shrine (Lao Bentou gong)","ศาลเจ้า เลี้ยงเป็ด(=ศาลเจ้า เล่าปึงเถ่ากง)",13.741399,100.510705
"bt-mb-0079","關聖廟","Guanyu Shrine","ศาลเจ้า กวนอู  (ถนนฟาดสาย)",13.739582,100.509303
"bt-mb-0080","觀音古廟","Guanyin Shrine","ศาลเจ้า อาเนี้ยเก็ง (ศาลเจ้า แม่กวนอิมฉือปุยเนี่ยเบี้ย)",13.7396912,100.5097938
"bt-mb-0081","城隍廟","City Pillar Shrine","ศาลเจ้า เฃี้ยอึ้งกง",13.7390468,100.508053
"bt-mb-0082","萬金福壽壇","Rongje Bunsamakhom","โรงเจบุญสมาคม",13.7415107,100.5050753
"bt-mb-0083","關帝古廟","Guanyu (and Stallion) Shrine","ศาลเจ้า กวนอู (ศาลเจ้า กวงเอี๊ยะ)",13.7404427,100.5079617
"bt-mb-0084","觀音聖廟","A nia keng shrine","ศาลเจ้า อาเบี้ย",13.7402953,100.5061296
"bt-mb-0085","大本頭公廟/老本頭公廟","Lao bentou gong","ศาลเจ้า เล่าปูนเถ้ากง",13.73908461,100.506891
"bt-mb-0086","尊上祖師","Chun Sieng Cho Sue Shrine","ศาลเจ้า จุนเสียงโจซือ",13.7436004,100.5035921
"bt-mb-0087","新本頭公廟","Sin Pun Tao Gong","ศาลเจ้า ซินปู้นเถ่าก๋ง",13.7395478,100.5063966
"bt-mb-0088",,,"ศาลเจ้า ซาไชส่วย",,
"bt-mb-0089","協天大帝廟","Chao Pho Kuan U Shrine","ศาลเจ้า กวนอู",13.79301628,100.6956525
"bt-mb-0090",,,"ศาลเจ้า ไท้เชียง เหล่ากุง",,
"bt-mb-0091","天后聖母",,"ศาลเจ้า ปูนเจ้าม้า (ศาลเจ้า แม่ทับทิม)",13.69886959,100.464244
"bt-mb-0092","報恩堂 宋靈山祖師",,"โรงเจปออึ้งตึ้ง",13.697656,100.4683006
"bt-mb-0093","玉虛宮 / 三清善堂","Prathip Sampoethiyan Foundation","ศาลเจ้า แป๊ะกง (ศาลเจ้า สัมโพธิญาณ) = มูลนิธิ ธรรม ประทีป สัมโพธิญาณ",13.6923254,100.454108
"bt-mb-0094","本頭古廟",,"ศาลเจ้า พ่อสมบุญ (ฝั่งโขง)",13.92491434,100.5989754
"bt-mb-0095","大聖佛祖","Chao Por Heng Jia Shrine","ศาลเจ้า พ่อเฮ่งเจีย",13.79707422,100.4446519
"bt-mb-0096","禪師公廟",,"ศาลเจ้า พ่อเซี่ยมซือกง",13.79478166,100.451277
"bt-mb-0097","玉福堂","Godfather Sun Wukong","ศาลเจ้า พ่อจุ้ย",13.79650022,100.4434345
"bt-mb-0098","(泰京空賛) 天后聖母",,"ศาลเจ้า แม่โพสพ",13.77047839,100.6556562
"bt-mb-0099","玄天上帝廟","Chao Por Suea Shrine","ศาลเจ้า พ่อเสือ",13.7872684,100.6382736
